route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
15675,CMBC,C20,TOTEM PARK/UBC LOOP, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC20.ashx, , 
15676,CMBC,C21,YALETOWN/BURRARD STN/BEACH, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC21.ashx, , 
15677,CMBC,C22,HAMPTON PLACE/UBC LOOP, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC22.ashx, , 
15678,CMBC,C23,YALETOWN/DAVIE, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC23.ashx, , 
15679,CMBC,C24,PORT MOODY STN/LOUGHEED STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC24.ashx, , 
15680,CMBC,C25,IOCO/PORT MOODY STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC25.ashx, , 
15681,CMBC,C26,BELCARRA/PORT MOODY STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC26.ashx, , 
15682,CMBC,C27,COQUITLAM STN/PORT MOODY STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC27.ashx, , 
15683,CMBC,C28,COQUITLAM STN/PORT MOODY STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC28.ashx, , 
15684,CMBC,C29,COQUITLAM STN/PARKWAY BOULEVARD, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC29.ashx, , 
15685,CMBC,C3,FRASERVIEW/NEW WEST STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC3.ashx, , 
15686,CMBC,C30,LAFARGE PARK/COQUITLAM STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC30.ashx, , 
15687,CMBC,C36,PORT COQ STN/PORT COQ SOUTH, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC36.ashx, , 
15688,CMBC,C37,PORT COQ STN/PRAIRIE/RIVERSIDE, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC37.ashx, , 
15689,CMBC,C38,COQ STN/RIVER SPR/PRAIRIE/POCO, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC38.ashx, , 
15690,CMBC,C4,UPTOWN/NEW WESTMINSTER STATION, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC4.ashx, , 
15691,CMBC,C40,MERIDIAN/PORT COQUITLAM STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC40.ashx, , 
15692,CMBC,C41,MEADOWTOWN/MAPLE MDWS STN/P MDW CTR, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC41.ashx, , 
15693,CMBC,C43,HANEY PL/MAPLE MDWS STN/MEADOWTOWN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC43.ashx, , 
15694,CMBC,C44,HANEY PL/MAPLE MDWS STN/MEADOWTOWN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC44.ashx, , 
15695,CMBC,C45,COTTONWOOD/HANEY PLACE, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC45.ashx, , 
15696,CMBC,C46,ALBION/HANEY PLACE, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC46.ashx, , 
15697,CMBC,C47,ALOUETTE/HANEY PLACE, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC47.ashx, , 
